Date;Open;High;Low;Close;Med_21;Med_7;Med_43;Med_put_strong;Med_put_weak;Med_call_strong;Med_call_weak;%K;%D;over_call;over_put;bollinger_up;bollinger_down;bollinger_up_REVERSE;bollinger_down_REVERSE;RSI;RSI_up_REVERSE;RSI_down_REVERSE;SAR_bear;SAR_bull;Movimento;PIP
2023-01-18 13:15:00;1,0845;1,08455;1,08404;1,08424;1,085643333;1,084984286;1,084860465;0;0;1;1;8,658008658;4,196046554;0;1;1,086949927;1,084350073;0;1;39,92867931;0;0;0;0;0;-0,026
2023-01-18 13:20:00;1,08423;1,08426;1,0833;1,08334;1,08554;1,084668571;1,08489;0;0;1;0;1,403508772;3,353839143;0;1;1,087181131;1,083869869;0;1;32,30543361;0;0;0;0;0;-0,09
2023-01-18 13:25:00;1,08337;1,08347;1,08295;1,08303;1,085406667;1,084337143;1,084893256;0;0;1;0;2,5;4,187172477;0;1;1,087320726;1,083407274;0;1;30,16886055;0;0;0;0;0;-0,031
2023-01-18 13:30:00;1,08305;1,08305;1,08251;1,08271;1,085237619;1,083974286;1,084897674;0;0;1;0;5,494505495;3,132671422;0;1;1,087415556;1,082951444;0;1;28,10270389;0;0;0;0;1;-0,032
2023-01-18 13:35:00;1,08274;1,08313;1,08267;1,08311;1,085084762;1,083674286;1,08489;0;0;1;0;16,48351648;8,159340659;0;1;1,087239603;1,082741397;0;0;34,17163369;0;0;0;0;1;0,04
2023-01-18 13:40:00;1,08309;1,08363;1,08306;1,08337;1,084913333;1,083471429;1,08489814;0;0;1;0;23,62637363;15,2014652;0;0;1,087133519;1,082564481;0;0;37,84427674;0;0;0;0;0;0,026
2023-01-18 13:45:00;1,08337;1,08339;1,08198;1,0823;1,084727619;1,083157143;1,084868837;1;0;0;0;8,060453401;16,05678117;0;1;1,087101039;1,082200961;0;0;30,34183546;0;0;0;0;1;-0,107
2023-01-18 13:50:00;1,08229;1,08307;1,0822;1,08275;1,084560476;1,082944286;1,084819535;1;0;0;0;19,94818653;17,21167119;0;1;1,087054325;1,081961675;0;0;36,08096496;0;0;0;0;0;0,045
2023-01-18 13:55:00;1,08274;1,0829;1,08115;1,0815;1,084364762;1,082681429;1,084749302;1;0;0;0;7,52688172;11,84517388;0;1;1,087076711;1,081499289;0;0;28,94662084;0;0;0;0;1;-0,125
2023-01-18 14:00:00;1,08151;1,08269;1,08149;1,0825;1,084202857;1,082605714;1,084707674;1;0;0;0;31,76470588;19,74659138;0;0;1,086957426;1,081307574;0;0;39,28894935;0;0;0;0;0;0,1
2023-01-18 14:05:00;1,08249;1,08255;1,08188;1,08222;1,084041429;1,082535714;1,084653023;1;0;0;0;25,17647059;21,48935273;0;0;1,086829729;1,081101271;0;0;37,63701976;0;0;0;0;1;-0,028
2023-01-18 14:10:00;1,0822;1,0829;1,08216;1,08259;1,0839;1,082461429;1,084615116;1;0;0;0;34,95145631;30,63087759;0;0;1,08655113;1,08103787;0;0;41,15779601;0;0;0;0;0;0,037
2023-01-18 14:15:00;1,08258;1,08293;1,08231;1,08243;1,083729524;1,082327143;1,084575116;1;0;0;0;34,13333333;31,42042008;0;0;1,086262881;1,080983119;0;0;40,10341905;0;0;0;0;1;-0,016
2023-01-18 14:20:00;1,08245;1,08325;1,08241;1,08317;1,083601429;1,082451429;1,084562326;1;0;0;0;59,41176471;42,83218478;0;0;1,085948652;1,081042348;0;0;46,88121305;0;0;0;0;1;0,074
2023-01-18 14:25:00;1,08317;1,08336;1,08286;1,08326;1,083484286;1,082524286;1,084542791;1;0;0;0;67,84565916;53,79691907;0;0;1,085636173;1,081125827;0;0;47,65699639;0;0;0;0;0;0,009
2023-01-18 14:30:00;1,08327;1,08334;1,08243;1,08246;1,083337143;1,082661429;1,0845;1;0;0;0;52,82258065;60,02666817;0;0;1,085324625;1,081148375;0;0;41,81151405;0;0;0;0;0;-0,08
2023-01-18 14:35:00;1,08247;1,08253;1,08221;1,08222;1,083188095;1,082621429;1,084460698;1;0;0;0;43,14516129;54,60446703;0;0;1,084989637;1,081180363;0;0;40,21777341;0;0;0;0;1;-0,024
2023-01-18 14:40:00;1,08221;1,08259;1,08205;1,08246;1,083055238;1,082655714;1,084410233;1;0;0;0;52,82258065;49,59677419;0;0;1,084584453;1,081310547;0;0;42,57503185;0;0;0;0;1;0,024
2023-01-18 14:45:00;1,08246;1,08317;1,08246;1,0829;1,082945238;1,0827;1,08437186;1;0;0;0;70,56451613;55,51075269;0;0;1,08424145;1,08146455;0;0;46,722695;0;0;0;0;1;0,044
2023-01-18 14:50:00;1,08289;1,08334;1,08271;1,08329;1,08287381;1,082822857;1,084323488;1;0;0;0;95,53571429;72,97427035;1;0;1,083967877;1,081617123;0;0;50,15895835;0;0;0;0;0;0,039
2023-01-18 14:55:00;1,08327;1,08328;1,08225;1,0824;1,08277381;1,082712857;1,084265116;1;0;0;0;56,56108597;74,2204388;0;0;1,08366859;1,08173241;0;0;43,29612704;0;0;0;0;1;-0,089
2023-01-18 15:00:00;1,08237;1,08345;1,08222;1,08342;1,082734762;1,082735714;1,084221395;1;1;0;0;98,69565217;83,59748414;1;0;1,083684306;1,081724694;0;0;51,4882523;0;0;0;0;0;0,102
2023-01-18 15:05:00;1,08341;1,08377;1,08329;1,08339;1,082737143;1,082868571;1,084170465;1;1;0;0;83,33333333;79,53002383;1;0;1,083739987;1,081705013;0;0;51,25371336;0;0;0;0;1;-0,003
2023-01-18 15:10:00;1,08337;1,08384;1,08333;1,08383;1,082775238;1,083098571;1,084131395;1;1;0;0;99,48979592;93,83959381;1;0;1,083909988;1,081647012;0;0;54,5255413;0;0;0;0;0;0,044
2023-01-18 15:15:00;1,08385;1,08389;1,08348;1,08348;1,082811905;1,083244286;1,084076744;1;1;0;0;77,7173913;86,84684019;0;0;1,083962885;1,081631115;0;0;51,5609174;0;0;0;0;1;-0,035
2023-01-18 15:20:00;1,08347;1,08423;1,08347;1,08377;1,082843333;1,083368571;1,084018837;1;1;0;0;78,89908257;85,3687566;0;0;1,084036751;1,081597249;0;0;53,80224396;0;0;0;0;1;0,029
2023-01-18 15:25:00;1,08377;1,08441;1,08377;1,08403;1,082874762;1,083474286;1,083965581;1;1;0;0;83,89830508;80,17159299;1;0;1,084211086;1,081595914;0;0;55,77788819;0;0;0;0;1;0,026
2023-01-18 15:30:00;1,08411;1,08647;1,08403;1,08459;1,08298381;1,083787143;1,083910233;1;1;0;0;57,46606335;73,42115033;0;0;1,084501481;1,081489519;1;0;59,76861673;0;0;0;0;0;0,056
2023-01-18 15:35:00;1,08457;1,08526;1,0839;1,08452;1,083068095;1,083944286;1,083871163;0;0;1;0;55,88235294;65,74890712;0;0;1,084626504;1,081666496;0;0;59,05125772;0;0;0;0;1;-0,007
2023-01-18 15:40:00;1,08451;1,08582;1,0844;1,08559;1,083262857;1,084258571;1,083855581;0;0;1;0;80,09049774;64,47963801;1;0;1,085106243;1,081495757;1;0;65,80697279;0;0;0;0;1;0,107
2023-01-18 15:45:00;1,08558;1,08639;1,08534;1,08606;1,083432381;1,084577143;1,083866047;0;0;1;0;90,7239819;75,56561086;1;0;1,085604922;1,081381078;1;0;68,28229256;0;0;0;0;1;0,047
2023-01-18 15:50:00;1,08607;1,08676;1,0857;1,08667;1,083644286;1,085032857;1,083883953;0;0;1;0;98,01762115;89,61070026;1;0;1,086194646;1,081199354;1;0;71,19671463;0;0;0;0;0;0,061
